like_num,author_name,content,post_time,url
309,天使贝哈哈哈,其实，现在韩国车可以退出中国市场了，质量比不上国产的[捂脸]慢慢的，国产也可以媲美欧美，日本车了,2021-11-13 01:07:44,http://www.toutiao.com/a1716229829213195/
77,骏马功成,德国进口的吉列刮胡刀就是比国内生产的好用，不用不服，你能找出更好用的国产刮胡刀我很愿意买,2021-11-13 00:54:48,http://www.toutiao.com/a1716229829213195/
250,wagaga111,因为国人都觉得进口的香啊,2021-11-12 23:15:10,http://www.toutiao.com/a1716229829213195/
7,有趣的远山ld,我在香港买的德国西门子原装洗衣机、冰箱就比在国内买的同品牌好不知多少倍！国内的西门子做工粗糙、经常出问题，香港原装的用了近20年都没问题。,2021-11-13 08:35:18,http://www.toutiao.com/a1716229829213195/
99,夏弈川,但他们不明白，有点见识的国人只认为西欧、北欧和美国生产的东西是好东西。像路虎放在印度生产，照样玩不转中国市场,2021-11-12 23:20:41,http://www.toutiao.com/a1716229829213195/
36,国家一级贫困户阿文,我只知道，前几天高速上三连撞，前后都是日本车，稀碎，中间是国产长安，一点点变形。最后的车按理说撞得应该最轻，但是驾驶座严重变形，司机当场死亡。,2021-11-13 06:58:36,http://www.toutiao.com/a1716229829213195/
91,财富自由的小鸟,大众奔驰宝马这些也想独资建厂，但是政策不允许。特斯拉是国家战略需要这条鲶鱼，一路放绿灯。可能若干年之后也会像对待三星那样，限制特斯拉[捂脸],2021-11-13 00:53:32,http://www.toutiao.com/a1716229829213195/
9,江海啸,所有车一旦国产都变味了，偷工减料卖高价。日本车铁皮厚度中外一样，但是日本本土的钢厂过关，所有碰撞没事。国产用便宜材料就不行了。,2021-11-13 08:24:05,http://www.toutiao.com/a1716229829213195/
0,刀锋狙神,国产车使用有效黄金寿命3年，德系可以三十年，不过国产有效使用6-8年，综合分析，国产无能钢铁工艺，油漆工艺，发动机技术，电控都不如德国，但是国产便宜，外观丑，更复合国内诸多变态审美眼光的客户,2021-11-13 08:55:27,http://www.toutiao.com/a1716229829213195/
51,无穷之路666,国人骨子里的自卑，有一天国人开始信任国产，才是真正强大的时候！,2021-11-13 05:50:16,http://www.toutiao.com/a1716229829213195/
12,乡村头条,保时捷奔驰宝马在新能源汽车市场都没有优势,2021-11-13 02:36:37,http://www.toutiao.com/a1716229829213195/
10,erhaitaba,我们单位阀门以前用的都是进口的，40多年都不坏，近10年新设备都用的国产的，不是漏气就是搬不动，打不开，阀门就换了很多,2021-11-13 03:50:09,http://www.toutiao.com/a1716229829213195/
33,mnbhggh,蔚来国产就牛逼,2021-11-13 00:45:07,http://www.toutiao.com/a1716229829213195/
12,幽默的小股侠,销往中国的雷克萨斯都是日本产的,2021-11-13 00:59:14,http://www.toutiao.com/a1716229829213195/
15,卯卯爹1,不是进口车好，而是进口车执行的标准好。国产出口的商品也是非常优秀的。像合资汽车的中国特制版就很垃圾！,2021-11-13 04:29:48,http://www.toutiao.com/a1716229829213195/
4,逆风飞扬24163793,崇尚原装进口的人已经逐渐老去了，在物资极度匮乏年代生活过的人对松下录像机，索尼电视的迷思是现在年轻人理解不了的。所以，雷克萨斯这种70后及更老的消费者会越来越少。现在波音和空客这么大的物件都在中国建交付中心了[大笑],2021-11-13 08:08:56,http://www.toutiao.com/a1716229829213195/
23,风清御深,进口也要看产地的，德国进口不能和印度越南斯里兰卡之类画等号。工业强汽车产业就强这是基本常识。国产车这几年快递发展进步赶超，但不能只是山寨弄个壳子强是肯定不行的，那个保时泰就狠恶心,2021-11-13 00:41:03,http://www.toutiao.com/a1716229829213195/
2,清水悠然007,好就是好，不好就是不好！15年前的国产车确实各种问题，由不好到好需要过程，国民接受也需要过程！如今的国产车，不说多好，但完全合格了，我现在开的是德系，但我下一辆一定会买国产.....,2021-11-13 08:51:23,http://www.toutiao.com/a1716229829213195/
2,金钱豹,医生看病后给病人开药，病人问吃国产药还是进口药，医生建议吃进口药，问到为啥呢，医生会说就像国产车和进口车比较是一样的！总是有很大差异！,2021-11-13 06:47:43,http://www.toutiao.com/a1716229829213195/
16,富足蛋糕D5,保时捷有特斯拉的政策就不会跑到东南亚去了,2021-11-13 00:48:39,http://www.toutiao.com/a1716229829213195/
